,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year
1158,Shaun Tait,4,4,15.0,127,6,21.16,8.56,14.83,0,0,2011
1159,Shane Watson,11,10,36.0,241,6,40.16,6.69,36.0,0,0,2011
1160,Dwayne Bravo,6,6,20.0,157,6,26.16,7.85,20.0,0,0,2011
1161,Raiphi Gomez,11,8,15.0,124,5,24.8,8.26,18.0,0,0,2011
1162,Ryan McLaren,6,6,18.0,178,5,35.6,9.88,21.6,0,0,2011
1163,Roelof van der Merwe,4,4,15.0,92,5,18.4,6.2,17.8,0,0,2011
1164,Dhawal Kulkarni,6,6,20.0,149,5,29.8,7.45,24.0,0,0,2011
1165,Syed Mohammad,5,5,15.0,127,5,25.4,8.46,18.0,0,0,2011
1166,Brett Lee,12,12,45.0,338,5,67.6,7.45,54.4,0,0,2011
1167,Charl Langeveldt,3,3,11.0,84,5,16.8,7.63,13.2,0,0,2011
1168,Abhimanyu Mithun,12,12,34.0,321,5,64.2,9.44,40.8,0,0,2011
1169,Ashok Dinda,6,5,17.0,152,5,30.4,8.94,20.4,0,0,2011
1170,Shrikant Wagh,7,7,16.0,121,4,30.25,7.56,24.0,0,0,2011
1171,Suresh Raina,16,12,27.0,201,4,50.25,7.3,41.25,0,0,2011
1172,JP Duminy,10,8,18.0,143,4,35.75,7.94,27.0,0,0,2011
1173,Jesse Ryder,13,7,15.0,118,4,29.5,7.69,23.0,0,0,2011
1174,Manpreet Gony,3,3,9.0,85,4,21.25,9.44,13.5,0,0,2011
1175,Tim Southee,5,5,19.0,166,4,41.5,8.73,28.5,0,0,2011
1176,P Parameswaran,5,5,15.0,137,4,34.25,8.74,23.5,0,0,2011
1177,Bipul Sharma,4,4,12.0,78,4,19.5,6.5,18.0,0,0,2011
1178,Shahbaz Nadeem,5,5,19.0,142,4,35.5,7.47,28.5,0,0,2011
1179,Harmeet Singh Bansal,2,2,7.0,53,3,17.66,7.57,14.0,0,0,2011
1180,Aavishkar Salvi,2,2,8.0,66,3,22.0,8.25,16.0,0,0,2011
1181,Ryan Ninan,2,2,6.0,65,3,21.66,10.83,12.0,0,0,2011
1182,Ali Murtaza,5,5,20.0,117,3,39.0,5.85,40.0,0,0,2011
1183,Bhuvneshwar Kumar,4,4,11.0,67,3,22.33,6.09,22.0,0,0,2011
1184,James Franklin,8,6,10.0,99,3,33.0,9.73,20.33,0,0,2011
1185,Anand Rajan,2,2,5.0,50,3,16.66,10.0,10.0,0,0,2011
1186,Johan van der Wath,3,3,12.0,129,3,43.0,10.75,24.0,0,0,2011
1187,Varun Aaron,4,3,12.0,82,2,41.0,6.83,36.0,0,0,2011
1188,Thisara Perera,4,4,14.0,111,2,55.5,7.92,42.0,0,0,2011
1189,Umesh Yadav,7,6,18.0,169,2,84.5,9.38,54.0,0,0,2011
1190,Ashok Menaria,13,9,15.0,121,2,60.5,8.06,45.0,0,0,2011
1191,Dirk Nannes,2,2,4.0,31,2,15.5,7.75,12.0,0,0,2011
1192,Virat Kohli,16,10,17.0,139,2,69.5,8.17,51.0,0,0,2011
1193,Muttiah Muralitharan,5,5,19.0,141,2,70.5,7.42,57.0,0,0,2011
1194,Abhishek Nayar,10,6,10.0,95,2,47.5,9.34,30.5,0,0,2011
1195,Ramesh Powar,5,5,12.0,112,2,56.0,9.33,36.0,0,0,2011
1196,Yogesh Nagar,11,5,5.0,67,1,67.0,13.4,30.0,0,0,2011
1197,David Hussey,8,2,3.0,38,1,38.0,12.66,18.0,0,0,2011
1198,Shikhar Dhawan,14,2,2.0,11,1,11.0,5.5,12.0,0,0,2011
1199,Tillakaratne Dilshan,10,6,12.0,108,1,108.0,9.0,72.0,0,0,2011
1200,Andrew Symonds,11,3,4.0,41,1,41.0,10.25,24.0,0,0,2011
1201,Murali Kartik,6,6,21.0,166,1,166.0,7.96,125.0,0,0,2011
1202,Nayan Doshi,3,3,5.0,62,1,62.0,11.62,32.0,0,0,2011
1203,Nuwan Kulasekara,1,1,3.0,26,1,26.0,8.66,18.0,0,0,2011
1204,Jacob Oram,2,1,2.0,32,1,32.0,16.0,12.0,0,0,2011
1205,James Faulkner,1,1,2.0,9,1,9.0,4.5,12.0,0,0,2011
1206,Pragyan Ojha,16,16,59.0,429,21,20.42,7.29,16.8,0,0,2010
1207,Harbhajan Singh,15,14,53.0,377,17,22.17,7.04,18.88,0,0,2010
1208,Anil Kumble,16,16,63.0,407,17,23.94,6.42,22.35,1,0,2010
1209,Amit Mishra,14,14,53.0,363,17,21.35,6.84,18.7,0,0,2010
1210,Vinay Kumar,14,14,46.0,396,16,24.75,8.57,17.31,1,0,2010
1211,Zaheer Khan,14,14,48.0,376,15,25.06,7.77,19.33,0,0,2010
1212,Dale Steyn,15,15,59.0,406,15,27.06,6.88,23.6,0,0,2010
1213,Irfan Pathan,14,14,46.0,426,15,28.4,9.19,18.53,0,0,2010
1214,Kieron Pollard,14,12,37.0,274,15,18.26,7.4,14.8,0,0,2010
1215,Lasith Malinga,13,13,49.0,344,15,22.93,7.02,19.6,1,0,2010
1216,Muttiah Muralitharan,12,12,48.0,329,15,21.93,6.85,19.2,0,0,2010
1217,Ryan Harris,8,8,30.0,233,14,16.64,7.59,13.14,0,0,2010
1218,Ravichandran Ashwin,12,12,48.0,293,13,22.53,6.1,22.15,0,0,2010
1219,RP Singh,12,12,42.0,370,13,28.46,8.8,19.38,0,0,2010
1220,Jacques Kallis,16,16,57.0,476,13,36.61,8.35,26.3,0,0,2010
1221,Shadab Jakati,11,11,38.0,291,13,22.38,7.65,17.53,0,0,2010
1222,Piyush Chawla,14,14,49.0,367,12,30.58,7.48,24.5,0,0,2010
1223,Doug Bollinger,8,8,31.0,207,12,17.25,6.67,15.5,1,0,2010
1224,Andrew Symonds,16,16,53.0,372,12,31.0,7.01,26.5,0,0,2010
1225,Siddharth Trivedi,11,10,35.0,260,11,23.63,7.32,19.36,0,0,2010
1226,Shane Warne,14,14,50.0,381,11,34.63,7.62,27.27,1,0,2010
1227,Albie Morkel,14,14,47.0,405,11,36.81,8.49,26.0,0,0,2010
1228,Shaun Tait,8,8,31.0,264,10,26.4,8.47,18.7,0,0,2010
1229,Praveen Kumar,12,12,45.0,380,10,38.0,8.44,27.0,0,0,2010
1230,Murali Kartik,10,10,39.0,253,9,28.11,6.48,26.0,0,0,2010
1231,Pradeep Sangwan,8,8,31.0,258,9,28.66,8.32,20.66,0,0,2010
1232,Ashok Dinda,7,7,23.0,152,9,16.88,6.56,15.44,0,0,2010
1233,Shane Bond,8,8,31.0,224,9,24.88,7.22,20.66,0,0,2010
1234,Chaminda Vaas,6,6,22.0,139,9,15.44,6.31,14.66,0,0,2010
1235,Harmeet Singh Bansal,8,8,24.0,174,8,21.75,7.25,18.0,0,0,2010
1236,MF Maharoof,7,7,24.0,206,8,25.75,8.58,18.0,0,0,2010
1237,Angelo Mathews,14,12,37.0,314,8,39.25,8.37,28.12,1,0,2010
1238,Dilhara Fernando,5,5,19.0,138,7,19.71,7.26,16.28,0,0,2010
1239,Ishant Sharma,7,7,25.0,236,7,33.71,9.44,21.42,0,0,2010
1240,Lakshmipathy Balaji,7,7,23.0,207,7,29.57,8.87,20.0,0,0,2010
1241,Dirk Nannes,9,9,34.0,224,7,32.0,6.52,29.42,0,0,2010
1242,Juan Theron,7,7,24.0,187,6,31.16,7.79,24.0,0,0,2010
1243,Shane Watson,6,6,22.0,184,6,30.66,8.36,22.0,0,0,2010
1244,Umesh Yadav,7,7,24.0,184,6,30.66,7.66,24.0,0,0,2010
1245,Jaskaran Singh,6,6,14.0,139,6,23.16,9.92,14.0,0,0,2010
1246,Ashish Nehra,4,4,14.0,96,6,16.0,6.85,14.0,0,0,2010
1247,Shalabh Srivastava,8,8,27.0,255,6,42.5,9.44,27.0,0,0,2010
1248,Suresh Raina,16,12,24.0,178,6,29.66,7.46,23.83,0,0,2010
1249,Rahul Sharma,6,6,20.0,167,5,33.4,8.08,24.8,0,0,2010
1250,Ravi Bopara,10,5,13.0,127,5,25.4,9.76,15.6,0,0,2010
1251,Thilan Thushara,4,4,14.0,101,5,20.2,6.96,17.4,0,0,2010
1252,Aditya Dole,3,3,11.0,112,5,22.4,10.18,13.2,0,0,2010
1253,Yusuf Pathan,14,11,34.0,246,5,49.2,7.23,40.8,0,0,2010
1254,Paul Collingwood,8,6,15.0,101,5,20.2,6.8,17.8,0,0,2010
1255,Yuvraj Singh,14,10,23.0,152,5,30.4,6.6,27.6,0,0,2010
1256,Sumit Narwal,5,5,15.0,185,5,37.0,11.8,18.8,0,0,2010
1257,Andrew McDonald,4,4,14.0,138,5,27.6,9.85,16.8,0,0,2010
1258,Charl Langeveldt,3,3,11.0,88,5,17.6,8.0,13.2,0,0,2010
1259,Ajit Agarkar,7,7,22.0,203,4,50.75,9.22,33.0,0,0,2010
1260,Chris Gayle,9,6,16.0,152,4,38.0,9.5,24.0,0,0,2010
1261,Dimitri Mascarenhas,2,2,8.0,65,4,16.25,8.12,12.0,0,0,2010
1262,Dwayne Bravo,10,10,26.0,228,4,57.0,8.71,39.25,0,0,2010
1263,Sarabjit Ladda,5,5,15.0,143,4,35.75,9.53,22.5,0,0,2010
1264,Ryan McLaren,10,10,34.0,270,4,67.5,7.94,51.0,0,0,2010
1265,Jaydev Unadkat,3,3,10.0,85,4,21.25,8.22,15.5,0,0,2010
1266,Munaf Patel,4,4,13.0,118,3,39.33,9.07,26.0,0,0,2010
1267,Virender Sehwag,14,3,5.0,23,3,7.66,4.05,11.33,0,0,2010
1268,Ali Murtaza,3,3,12.0,91,3,30.33,7.58,24.0,0,0,2010
1269,Tillakaratne Dilshan,6,4,8.0,70,3,23.33,8.57,16.33,0,0,2010
1270,Bipul Sharma,5,4,10.0,94,3,31.33,9.4,20.0,0,0,2010
1271,Shanthakumaran Sreesanth,6,6,19.0,191,3,63.66,10.05,38.0,0,0,2010
1272,JM Kemp,5,5,7.0,54,3,18.0,7.36,14.66,0,0,2010
1273,Ramesh Powar,7,7,23.0,160,3,53.33,6.95,46.0,0,0,2010
1274,Rajat Bhatia,5,5,16.0,132,3,44.0,8.25,32.0,0,0,2010
1275,Love Ablish,2,2,4.0,36,3,12.0,9.0,8.0,0,0,2010
1276,Laxmi Ratan Shukla,4,4,12.0,106,3,35.33,8.83,24.0,0,0,2010
1277,Kamran Khan,3,3,6.0,53,3,17.66,8.83,12.0,0,0,2010
1278,Kevin Pietersen,7,6,10.0,77,3,25.66,7.7,20.0,0,0,2010
1279,Roelof van der Merwe,1,1,4.0,27,2,13.5,6.75,12.0,0,0,2010
1280,Ajantha Mendis,2,2,8.0,66,2,33.0,8.25,24.0,0,0,2010
1281,Mitchell Marsh,3,3,10.0,88,2,44.0,8.8,30.0,0,0,2010
1282,Amit Uniyal,2,2,6.0,66,2,33.0,11.0,18.0,0,0,2010
1283,Pankaj Singh,2,2,8.0,81,2,40.5,10.12,24.0,0,0,2010
1284,Brad Hodge,4,4,5.0,41,2,20.5,8.2,15.0,0,0,2010
1285,Joginder Sharma,3,3,8.0,89,2,44.5,11.12,24.0,0,0,2010
1286,Rajagopal Sathish,12,4,8.0,81,2,40.5,10.12,24.0,0,0,2010
1287,Sanath Jayasuriya,4,4,9.0,68,2,34.0,7.55,27.0,0,0,2010
1288,Rohit Sharma,16,9,19.0,153,2,76.5,8.05,57.0,0,0,2010
1289,Daniel Vettori,3,3,11.0,97,2,48.5,8.31,35.0,0,0,2010
1290,Iqbal Abdulla,3,3,8.0,61,1,61.0,7.17,51.0,0,0,2010
1291,Abhimanyu Mithun,1,1,3.0,39,1,39.0,13.0,18.0,0,0,2010
1292,Moises Henriques,1,1,4.0,35,1,35.0,8.75,24.0,0,0,2010
1293,Yusuf Abdulla,2,2,7.0,66,1,66.0,9.65,41.0,0,0,2010
1294,Yo Mahesh,1,1,3.0,23,1,23.0,7.66,18.0,0,0,2010
1295,Manpreet Gony,3,3,8.0,92,1,92.0,11.5,48.0,0,0,2010
1296,Vikramjeet Malik,3,3,7.0,62,1,62.0,8.65,43.0,0,0,2010
1297,Nayan Doshi,1,1,4.0,17,1,17.0,4.25,24.0,0,0,2010
1298,Dwayne Smith,3,2,4.0,36,1,36.0,9.39,23.0,0,0,2010
1299,Sudeep Tyagi,6,6,16.0,159,1,159.0,10.04,95.0,0,0,2010
1300,JP Duminy,7,2,5.0,37,1,37.0,6.72,33.0,0,0,2010
1301,KP Appanna,2,2,7.0,51,1,51.0,7.28,42.0,0,0,2010
1302,Dhawal Kulkarni,1,1,4.0,40,1,40.0,10.0,24.0,0,0,2010
1303,RP Singh,16,16,59.0,417,23,18.13,6.98,15.56,1,0,2009
1304,Anil Kumble,16,16,59.0,347,21,16.52,5.86,16.9,1,1,2009
1305,Pragyan Ojha,15,15,53.0,348,18,19.33,6.5,17.83,0,0,2009
1306,Lasith Malinga,13,13,49.0,312,18,17.33,6.3,16.5,0,0,2009
1307,Irfan Pathan,14,14,50.0,390,17,22.94,7.74,17.76,0,0,2009
1308,Munaf Patel,11,11,35.0,241,16,15.06,6.91,13.06,0,0,2009
1309,Shane Warne,13,13,50.0,365,14,26.07,7.3,21.42,0,0,2009
1310,Muttiah Muralitharan,13,13,50.0,261,14,18.64,5.22,21.42,0,0,2009
1311,Amit Mishra,11,11,42.0,294,14,21.0,6.97,18.07,0,0,2009
1312,Yusuf Abdulla,9,9,28.0,241,14,17.21,8.6,12.0,2,0,2009
1313,Lakshmipathy Balaji,13,13,37.0,316,13,24.3,8.46,17.23,1,0,2009
1314,Praveen Kumar,13,13,49.0,394,13,30.3,7.93,22.92,0,0,2009
1315,Shadab Jakati,9,8,29.0,217,13,16.69,7.48,13.38,2,0,2009
1316,Albie Morkel,12,12,40.0,324,13,24.92,8.1,18.46,0,0,2009
1317,Harbhajan Singh,13,13,44.0,256,12,21.33,5.81,22.0,1,0,2009
1318,Piyush Chawla,14,14,45.0,308,12,25.66,6.86,22.41,0,0,2009
1319,Rohit Sharma,16,12,23.0,161,11,14.63,7.0,12.54,1,0,2009
1320,Ishant Sharma,11,11,43.0,297,11,27.0,6.9,23.45,0,0,2009
1321,Dwayne Bravo,11,11,33.0,259,11,23.54,7.8,18.09,0,0,2009
1322,Roelof van der Merwe,10,10,34.0,248,9,27.55,7.29,22.66,0,0,2009
1323,Vinay Kumar,11,11,32.0,271,9,30.11,8.38,21.55,0,0,2009
1324,Amit Singh,5,5,17.0,95,9,10.55,5.42,11.66,1,0,2009
1325,Suresh Raina,14,10,27.0,164,7,23.42,5.92,23.71,0,0,2009
1326,Sanath Jayasuriya,12,9,19.0,163,7,23.28,8.57,16.28,0,0,2009
1327,Brad Hodge,12,9,20.0,161,7,23.0,8.05,17.14,0,0,2009
1328,Yusuf Pathan,13,11,35.0,243,7,34.71,6.94,30.0,0,0,2009
1329,Andrew Symonds,8,8,24.0,160,7,22.85,6.66,20.57,0,0,2009
1330,Ravindra Jadeja,13,10,23.0,151,6,25.16,6.47,23.33,0,0,2009
1331,Ryan Harris,8,8,31.0,230,6,38.33,7.41,31.0,0,0,2009
1332,Zaheer Khan,6,6,21.0,142,6,23.66,6.76,21.0,0,0,2009
1333,Shanthakumaran Sreesanth,7,7,23.0,192,6,32.0,8.34,23.0,0,0,2009
1334,Kamran Khan,5,5,17.0,124,6,20.66,7.01,17.66,0,0,2009
1335,Ajit Agarkar,11,11,31.0,284,6,47.33,9.16,31.0,0,0,2009
1336,Yuvraj Singh,14,9,20.0,142,6,23.66,7.1,20.0,0,0,2009
1337,Jacques Kallis,15,14,46.0,353,6,58.83,7.67,46.0,0,0,2009
1338,Siddharth Trivedi,7,7,20.0,152,6,25.33,7.6,20.0,0,0,2009
1339,Dimitri Mascarenhas,5,5,19.0,132,6,22.0,6.82,19.33,0,0,2009
1340,Manpreet Gony,7,7,17.0,172,5,34.4,10.11,20.4,0,0,2009
1341,Ramesh Powar,9,8,21.0,132,5,26.4,6.28,25.2,0,0,2009
1342,Dhawal Kulkarni,8,8,26.0,206,5,41.2,7.92,31.2,0,0,2009
1343,Brett Lee,5,5,20.0,111,5,22.2,5.55,24.0,0,0,2009
1344,Tirumalasetti Suman,12,5,15.0,108,5,21.6,7.2,18.0,0,0,2009
1345,Scott Styris,2,2,8.0,64,5,12.8,8.0,9.6,0,0,2009
1346,Jacob Oram,11,7,15.0,133,5,26.6,8.58,18.6,0,0,2009
1347,Sudeep Tyagi,8,8,19.0,136,5,27.2,7.15,22.8,0,0,2009
1348,Shoaib Ahmed,7,7,17.0,152,5,30.4,8.94,20.4,0,0,2009
1349,Dillon du Preez,2,2,7.0,56,4,14.0,8.0,10.5,0,0,2009
1350,Balachandra Akhil,6,5,11.0,80,4,20.0,7.27,16.5,0,0,2009
1351,Ashok Dinda,9,8,24.0,193,4,48.25,8.04,36.0,0,0,2009
1352,Chaminda Vaas,2,2,8.0,71,4,17.75,8.87,12.0,0,0,2009
1353,Venugopal Rao,16,6,15.0,122,4,30.5,8.13,22.5,0,0,2009
1354,Murali Kartik,10,10,34.0,201,4,50.25,5.91,51.0,0,0,2009
1355,Abhishek Nayar,13,4,12.0,84,4,21.0,7.0,18.0,0,0,2009
1356,Kevin Pietersen,6,4,13.0,85,4,21.25,6.53,19.5,0,0,2009
1357,JP Duminy,13,6,17.0,93,4,23.25,5.31,26.25,0,0,2009
1358,Wilkin Mota,8,5,9.0,61,3,20.33,6.77,18.0,0,0,2009
1359,Shane Harwood,3,3,10.0,73,3,24.33,7.3,20.0,0,0,2009
1360,Thilan Thushara,2,2,8.0,60,3,20.0,7.5,16.0,0,0,2009
1361,Laxmi Ratan Shukla,9,5,14.0,100,3,33.33,7.14,28.0,0,0,2009
1362,Ajantha Mendis,4,4,16.0,117,3,39.0,7.31,32.0,0,0,2009
1363,Charl Langeveldt,1,1,4.0,15,3,5.0,3.75,8.0,0,0,2009
1364,Johan Botha,3,3,12.0,74,3,24.66,6.16,24.0,0,0,2009
1365,Jesse Ryder,5,5,17.0,115,3,38.33,6.76,34.0,0,0,2009
1366,Harmeet Singh Bansal,7,7,23.0,192,3,64.0,8.4,45.66,0,0,2009
1367,Ravichandran Ashwin,2,1,4.0,13,2,6.5,3.25,12.0,0,0,2009
1368,Andrew Flintoff,3,3,11.0,105,2,52.5,9.54,33.0,0,0,2009
1369,Anureet Singh,3,2,5.0,47,2,23.5,9.4,15.0,0,0,2009
1370,Chetanya Nanda,3,3,8.0,57,2,28.5,7.12,24.0,0,0,2009
1371,Vikramjeet Malik,5,5,12.0,98,2,49.0,8.16,36.0,0,0,2009
1372,Dale Steyn,3,3,9.0,62,2,31.0,6.88,27.0,0,0,2009
1373,Sourav Ganguly,13,6,12.0,97,2,48.5,8.08,36.0,0,0,2009
1374,Joginder Sharma,4,4,7.0,57,2,28.5,8.14,21.0,0,0,2009
1375,KP Appanna,5,5,12.0,87,2,43.5,7.25,36.0,0,0,2009
1376,Moises Henriques,4,4,12.0,107,2,53.5,8.79,36.5,0,0,2009
1377,Pankaj Singh,3,3,7.0,65,2,32.5,9.28,21.0,0,0,2009
1378,Dwayne Smith,8,8,14.0,124,1,124.0,8.85,84.0,0,0,2009
1379,Tyron Henderson,2,2,6.0,40,1,40.0,6.66,36.0,0,0,2009
1380,Graham Napier,1,1,4.0,27,1,27.0,6.75,24.0,0,0,2009
1381,Vikram Singh,5,4,9.0,82,1,82.0,9.11,54.0,0,0,2009
1382,Chris Gayle,7,7,19.0,144,1,144.0,7.64,113.0,0,0,2009
1383,Rohan Raje,4,4,7.0,72,1,72.0,10.53,41.0,0,0,2009
1384,Sohail Tanvir,11,11,41.0,266,22,12.09,6.46,11.22,1,1,2008
1385,Shane Warne,15,15,52.0,404,19,21.26,7.76,16.42,0,0,2008
1386,Shanthakumaran Sreesanth,15,15,51.0,442,19,23.26,8.63,16.15,0,0,2008
1387,Piyush Chawla,15,15,47.0,389,17,22.88,8.3,16.52,0,0,2008
1388,Albie Morkel,13,13,48.0,399,17,23.47,8.31,16.94,1,0,2008
1389,Shane Watson,15,15,54.0,383,17,22.52,7.07,19.11,0,0,2008
1390,Manpreet Gony,16,16,60.0,443,17,26.05,7.38,21.17,0,0,2008
1391,Yo Mahesh,11,11,42.0,370,16,23.12,8.77,15.81,1,0,2008
1392,Irfan Pathan,14,14,53.0,350,15,23.33,6.6,21.2,0,0,2008
1393,RP Singh,14,14,51.0,442,15,29.46,8.61,20.53,0,0,2008
1394,MF Maharoof,10,10,36.0,249,15,16.6,6.91,14.4,0,0,2008
1395,Munaf Patel,15,15,55.0,420,14,30.0,7.63,23.57,0,0,2008
1396,Zaheer Khan,11,11,42.0,357,13,27.46,8.5,19.38,0,0,2008
1397,Siddharth Trivedi,15,15,48.0,399,13,30.69,8.31,22.15,0,0,2008
1398,Ashish Nehra,14,14,45.0,348,12,29.0,7.76,22.41,0,0,2008
1399,Glenn McGrath,14,14,54.0,357,12,29.75,6.61,27.0,1,0,2008
1400,Umar Gul,6,6,22.0,184,12,15.33,8.17,11.25,1,0,2008
1401,Lakshmipathy Balaji,9,9,33.0,286,11,26.0,8.66,18.0,0,1,2008
1402,Shaun Pollock,13,13,46.0,301,11,27.36,6.54,25.09,0,0,2008
1403,Amit Mishra,6,6,20.0,142,11,12.9,7.15,10.81,0,1,2008
1404,Dwayne Bravo,9,9,28.0,232,11,21.09,8.14,15.54,0,0,2008
1405,Muttiah Muralitharan,15,15,58.0,404,11,36.72,6.96,31.63,0,0,2008
1406,Dhawal Kulkarni,10,10,29.0,236,11,21.45,8.0,16.09,0,0,2008
1407,Vikram Singh,13,13,48.0,420,11,38.18,8.75,26.18,0,0,2008
1408,Pragyan Ojha,13,12,37.0,284,11,25.81,7.67,20.18,0,0,2008
1409,Praveen Kumar,13,13,44.0,366,11,33.27,8.19,24.36,0,0,2008
1410,Dilhara Fernando,5,5,20.0,160,10,16.0,8.0,12.0,1,0,2008
1411,Dale Steyn,10,10,38.0,252,10,25.2,6.63,22.8,0,0,2008
1412,Shahid Afridi,10,10,30.0,225,9,25.0,7.5,20.0,0,0,2008
1413,Ajit Agarkar,9,9,26.0,207,8,25.87,7.96,19.5,0,0,2008
1414,Mohammad Asif,8,8,32.0,296,8,37.0,9.25,24.0,0,0,2008
1415,Joginder Sharma,8,7,24.0,239,8,29.87,9.68,18.5,0,0,2008
1416,Ashok Dinda,13,12,38.0,258,8,32.25,6.78,28.5,0,0,2008
1417,Yusuf Pathan,16,13,28.0,230,8,28.75,8.16,21.12,0,0,2008
1418,Ishant Sharma,13,13,43.0,331,8,41.37,7.66,32.37,0,0,2008
1419,James Hopes,11,11,28.0,276,7,39.42,9.85,24.0,0,0,2008
1420,Palani Amarnath,6,6,22.0,236,7,33.71,10.72,18.85,0,0,2008
1421,Anil Kumble,10,10,38.0,304,7,43.42,7.93,32.85,0,0,2008
1422,Makhaya Ntini,9,9,35.0,242,7,34.57,6.91,30.0,1,0,2008
1423,Laxmi Ratan Shukla,13,9,12.0,124,6,20.66,10.33,12.0,0,0,2008
1424,Rajat Bhatia,9,9,22.0,183,6,30.5,8.31,22.0,0,0,2008
1425,Sourav Ganguly,13,7,20.0,128,6,21.33,6.4,20.0,0,0,2008
1426,Rohan Raje,6,6,16.0,137,5,27.4,8.38,19.6,0,0,2008
1427,Harbhajan Singh,3,3,10.0,82,5,16.4,8.2,12.0,0,0,2008
1428,Dwayne Smith,4,4,11.0,83,5,16.6,7.54,13.2,0,0,2008
1429,Shoaib Akhtar,3,3,7.0,54,5,10.8,7.71,8.4,1,0,2008
1430,Chaminda Vaas,5,5,17.0,145,5,29.0,8.52,20.4,0,0,2008
1431,Vinay Kumar,8,8,23.0,182,5,36.4,7.91,27.6,0,0,2008
1432,Pradeep Sangwan,7,7,24.0,215,5,43.0,8.95,28.8,0,0,2008
1433,Brett Lee,4,4,16.0,112,4,28.0,7.0,24.0,0,0,2008
1434,Sanath Jayasuriya,14,8,21.0,159,4,39.75,7.57,31.5,0,0,2008
1435,Sanjay Bangar,11,9,25.0,219,4,54.75,8.76,37.5,0,0,2008
1436,Jacques Kallis,11,11,34.0,311,4,77.75,9.05,51.5,0,0,2008
1437,Paidikalva Vijaykumar,9,9,25.0,199,4,49.75,7.85,38.0,0,0,2008
1438,Scott Styris,8,8,27.0,199,3,66.33,7.37,54.0,0,0,2008
1439,Virender Sehwag,14,7,11.0,133,3,44.33,12.09,22.0,0,0,2008
1440,Yuvraj Singh,15,6,9.0,83,3,27.66,9.22,18.0,0,0,2008
1441,Murali Kartik,6,5,14.0,127,3,42.33,8.65,29.33,0,0,2008
1442,Ramesh Powar,5,5,12.0,91,3,30.33,7.58,24.0,0,0,2008
1443,Jacob Oram,4,4,16.0,149,3,49.66,9.31,32.0,0,0,2008
1444,Gajendra Singh,4,4,14.0,141,3,47.0,10.07,28.0,0,0,2008
1445,Dominic Thornely,6,4,7.0,40,3,13.33,5.71,14.0,0,0,2008
1446,David Hussey,13,5,13.0,130,2,65.0,10.0,39.0,0,0,2008
1447,Daniel Vettori,2,2,8.0,54,2,27.0,6.75,24.0,0,0,2008
1448,Venugopal Rao,11,7,14.0,137,2,68.5,9.78,42.0,0,0,2008
1449,Dimitri Mascarenhas,1,1,4.0,29,2,14.5,7.25,12.0,0,0,2008
1450,Virat Kohli,13,4,7.0,61,2,30.5,7.95,23.0,0,0,2008
1451,Doddapaneni Kalyankrishna,3,3,8.0,87,2,43.5,10.87,24.0,0,0,2008
1452,Siddharth Chitnis,3,2,6.0,60,2,30.0,10.0,18.0,0,0,2008
1453,Shoaib Malik,7,5,8.0,85,2,42.5,10.0,25.5,0,0,2008
1454,Balachandra Akhil,7,6,17.0,134,2,67.0,7.73,52.0,0,0,2008
1455,Musavir Khote,4,2,5.0,51,2,25.5,10.2,15.0,0,0,2008
1456,Nuwan Zoysa,3,3,11.0,99,2,49.5,9.0,33.0,0,0,2008
1457,Ashley Noffke,1,1,4.0,40,1,40.0,10.0,24.0,0,0,2008
1458,Wilkin Mota,4,2,3.0,36,1,36.0,12.0,18.0,0,0,2008
1459,Brett Geeves,2,2,8.0,91,1,91.0,11.37,48.0,0,0,2008
1460,Andre Nel,1,1,3.0,31,1,31.0,10.33,18.0,0,0,2008
1461,Rohit Sharma,13,1,4.0,25,1,25.0,6.25,24.0,0,0,2008
1462,Ajantha Mendis,1,1,4.0,24,1,24.0,6.0,24.0,0,0,2008
1463,Vidyut Sivaramakrishnan,9,1,2.0,22,1,22.0,11.0,12.0,0,0,2008
1464,Suresh Raina,16,2,3.0,30,1,30.0,9.0,20.0,0,0,2008
1465,Sunil Joshi,4,4,9.0,82,1,82.0,8.94,55.0,0,0,2008
1466,Dinesh Salunkhe,6,5,8.0,78,1,78.0,9.95,47.0,0,0,2008
1467,Dwaraka Ravi Teja,7,1,2.0,19,1,19.0,9.5,12.0,0,0,2008
1468,Mohammad Hafeez,8,2,5.0,24,1,24.0,4.8,30.0,0,0,2008
1469,Abhishek Nayar,14,5,7.0,68,1,68.0,9.71,42.0,0,0,2008
1470,PM Sarvesh Kumar,2,2,5.0,42,1,42.0,8.4,30.0,0,0,2008
