POS,Player,Mat,Inns,Ov,Wkts,Runs,BBI,Avg,Econ,SR,4w,5w,year
26,Krishnappa GowthamRR,15,15,40,11,312,12-Feb,28.36,7.8,21.81,0,0,2018
27,Ravindra JadejaCSK,16,14,41,11,303,16-May,27.54,7.39,22.36,0,0,2018
28,Jaydev UnadkatRR,15,15,50,11,486,25-May,44.18,9.65,27.45,0,0,2018
29,Shreyas GopalRR,11,10,31,11,236,16-Apr,21.45,7.61,16.9,1,0,2018
30,Deepak ChaharCSK,12,12,38,10,278,13-Apr,27.8,7.28,22.9,0,0,2018
31,Prasidh KrishnaKKR,7,7,28,10,260,30-Apr,26,9.28,16.8,1,0,2018
32,Ravichandran AshwinPBKS,14,14,50,10,410,Apr-34,41,8.09,30.4,0,0,2018
33,Ben LaughlinRR,7,7,21,9,211,15-Feb,23.44,10.04,14,0,0,2018
34,Bhuvneshwar KumarSRH,12,12,46,9,354,19-May,39.33,7.66,30.77,0,0,2018
35,Chris WoakesRCB,5,5,18,8,190,Mar-36,23.75,10.36,13.75,0,0,2018
36,Ben StokesRR,13,12,37,8,303,15-Mar,37.87,8.18,27.75,0,0,2018
37,Harshal PatelDC,5,5,17,7,167,27-May,23.85,9.54,15,0,0,2018
38,Mohit SharmaPBKS,9,9,29,7,322,14-Apr,46,10.85,25.42,0,0,2018
39,Mustafizur RahmanMI,7,7,27,7,230,16-Mar,32.85,8.36,23.57,0,0,2018
40,Harbhajan SinghCSK,13,12,32,7,270,18-May,38.57,8.48,27.28,0,0,2018
41,Imran TahirCSK,6,6,20,6,188,12-Apr,31.33,9.09,20.66,0,0,2018
42,Tom CurranKKR,5,5,10,6,118,29-Mar,19.66,11.6,10.16,0,0,2018
43,Rahul TewatiaDC,8,8,22,6,173,18-Mar,28.83,7.86,22,0,0,2018
44,Shane WatsonCSK,15,11,28,6,251,29-Apr,41.83,8.96,28,0,0,2018
45,Tim SoutheeRCB,8,8,29,5,261,24-Mar,52.2,9,34.8,0,0,2018
46,Sandeep LamichhaneDC,3,3,12,5,82,Mar-36,16.4,6.83,14.4,0,0,2018
47,Basil ThampiSRH,4,4,10,5,114,29-Mar,22.8,11.21,12.2,0,0,2018
48,Shivam MaviKKR,9,9,28,5,270,21-Apr,54,9.64,33.6,0,0,2018
49,Billy StanlakeSRH,4,4,16,5,130,21-Feb,26,8.12,19.2,0,0,2018
50,Carlos BrathwaiteSRH,4,4,10,5,94,Mar-43,18.8,9.24,12.2,0,0,2018
51,Glenn MaxwellDC,12,10,16,5,132,15-Feb,26.4,8.25,19.2,0,0,2018
52,Ish SodhiRR,6,6,23,5,135,26-Mar,27,5.86,27.6,0,0,2018
53,Dhawal KulkarniRR,8,8,20,4,188,14-Apr,47,9.47,29.75,0,0,2018
54,Washington SundarRCB,7,7,20,4,192,16-Mar,48,9.6,30,0,0,2018
55,Avesh KhanDC,6,6,19,4,204,13-Mar,51,10.73,28.5,0,0,2018
56,Nitish RanaKKR,15,5,6,4,44,11-Feb,11,7.13,9.25,0,0,2018
57,Barinder SranPBKS,6,6,22,4,229,28-Mar,57.25,10.4,33,0,0,2018
58,Dan ChristianDC,4,4,12,4,101,10-Feb,25.25,8.53,17.75,0,0,2018
59,Liam PlunkettDC,7,7,25,4,225,17-Mar,56.25,9,37.5,0,0,2018
60,Karn SharmaCSK,6,5,9,4,89,16-Apr,22.25,9.36,14.25,0,0,2018
61,Shahbaz NadeemDC,6,6,15,3,161,16-Mar,53.66,10.73,30,0,0,2018
62,Axar PatelPBKS,9,8,26,3,218,21-Apr,72.66,8.38,52,0,0,2018
63,Mohammad ShamiDC,4,4,14,3,144,15-Mar,48,10.4,27.66,0,0,2018
64,Corey AndersonRCB,3,3,8,3,115,18-Feb,38.33,13.26,17.33,0,0,2018
65,KM AsifCSK,2,2,6,3,75,Feb-43,25,12.5,12,0,0,2018
66,Moeen AliRCB,5,5,13,3,97,7-Mar,32.33,7.36,26.33,0,0,2018
67,Murugan AshwinRCB,2,2,7,3,53,21-Mar,17.66,7.57,14,0,0,2018
68,Marcus StoinisPBKS,7,6,11,3,120,15-Apr,40,10.9,22,0,0,2018
69,Chris MorrisDC,4,4,14,3,143,23-Apr,47.66,10.21,28,0,0,2018
70,Colin de GrandhommeRCB,9,7,15,2,129,4-Mar,64.5,8.6,45,0,0,2018
71,Vinay KumarKKR,2,2,4,2,65,Apr-40,32.5,16.95,11.5,0,0,2018
72,David WilleyCSK,3,3,10,2,95,24-Jan,47.5,9.5,30,0,0,2018
73,Mitchell JohnsonKKR,6,6,21,2,216,26-Mar,108,10.28,63,0,0,2018
74,Kulwant KhejroliyaRCB,3,3,11,2,107,Feb-33,53.5,9.87,32.5,0,0,2018
75,Javon SearlesKKR,4,3,7,2,89,24-Jan,44.5,12.71,21,0,0,2018
76,Ben CuttingMI,9,7,17,2,168,20-Feb,84,9.88,51,0,0,2018
77,Pawan NegiRCB,2,2,4,1,49,18-Apr,49,12.25,24,0,0,2018
78,D'Arcy ShortRR,7,2,3,1,19,10-Jan,19,6.33,18,0,0,2018
79,Anureet SinghRR,3,3,4,1,42,23-Mar,42,10.5,24,0,0,2018
80,Vijay ShankarDC,13,4,5,1,58,19-Feb,58,11.6,30,0,0,2018
81,Yusuf PathanSRH,15,1,2,1,14,20-Mar,14,7,12,0,0,2018
82,Mohammad NabiSRH,2,2,5,1,47,11-Apr,47,9.4,30,0,0,2018
1,Bhuvneshwar KumarSRH,14,14,52,26,369,19-May,14.19,7.05,12.07,0,1,2017
2,Jaydev UnadkatRPS,12,12,46,24,322,25-May,13.41,7.02,11.45,0,1,2017
3,Jasprit BumrahMI,16,16,59,20,439,14-Apr,21.95,7.39,17.8,0,0,2017
4,Mitchell McClenaghanMI,14,14,54,19,507,21-Apr,26.68,9.38,17.05,0,0,2017
5,Imran TahirRPS,12,12,47,18,369,12-Apr,20.5,7.85,15.66,0,0,2017
6,Chris WoakesKKR,13,13,44,17,386,Mar-36,22.7,8.77,15.52,0,0,2017
7,Rashid KhanSRH,14,14,54,17,358,19-Mar,21.05,6.62,19.05,0,0,2017
8,Sandeep SharmaPBKS,13,13,48,17,398,20-Apr,23.41,8.29,16.94,1,0,2017
9,Umesh YadavKKR,14,14,48,17,410,24-Apr,24.11,8.45,17.11,1,0,2017
10,Siddarth KaulSRH,10,10,35,16,300,29-Apr,18.75,8.41,13.37,1,0,2017
11,Pawan NegiRCB,12,12,32,16,197,18-Apr,12.31,6.12,12.06,0,0,2017
12,Axar PatelPBKS,14,14,48,15,362,21-Apr,24.13,7.54,19.2,0,0,2017
13,Nathan Coulter-NileKKR,8,8,28,15,228,14-Apr,15.2,8.04,11.33,0,0,2017
14,Pat CumminsDC,12,12,46,15,373,Apr-34,24.86,8.07,18.46,0,0,2017
15,Yuzvendra ChahalRCB,13,13,43,14,333,25-Apr,23.78,7.65,18.64,0,0,2017
16,Mohit SharmaPBKS,14,14,45,13,410,14-Apr,31.53,8.97,21.07,0,0,2017
17,Karn SharmaMI,9,9,30,13,214,16-Apr,16.46,6.97,14.15,1,0,2017
18,Kuldeep YadavKKR,12,11,41,12,340,20-Apr,28.33,8.29,20.5,0,0,2017
19,Chris MorrisDC,9,9,31,12,240,23-Apr,20,7.74,15.5,1,0,2017
20,Ben StokesRPS,12,12,44,12,316,15-Mar,26.33,7.18,22,0,0,2017
21,Andrew TyeGL,6,6,21,12,141,17-May,11.75,6.71,10.5,0,1,2017
22,Shardul ThakurRPS,12,12,38,11,315,19-Mar,28.63,8.25,20.81,0,0,2017
23,Dan ChristianRPS,13,13,40,11,298,10-Feb,27.09,7.45,21.81,0,0,2017
24,Basil ThampiGL,12,12,44,11,424,29-Mar,38.54,9.49,24.36,0,0,2017
25,Lasith MalingaMI,12,12,45,11,382,13-May,34.72,8.52,24.45,0,0,2017
26,Zaheer KhanDC,11,11,40,10,313,17-Apr,31.3,7.79,24.1,0,0,2017
27,Sunil NarineKKR,16,15,59,10,412,19-May,41.2,6.98,35.4,0,0,2017
28,Mohammed SirajSRH,6,6,23,10,212,Apr-32,21.2,9.21,13.8,1,0,2017
29,Amit MishraDC,14,14,39,10,343,17-May,34.3,8.83,23.3,0,0,2017
30,Krunal PandyaMI,13,13,40,10,273,14-Mar,27.3,6.82,24,0,0,2017
31,Samuel BadreeRCB,7,7,25,9,188,9-Apr,20.88,7.52,16.66,1,0,2017
32,Washington SundarRPS,11,10,30,8,185,16-Mar,23.12,6.16,22.5,0,0,2017
33,Harbhajan SinghMI,11,11,41,8,266,18-May,33.25,6.48,30.75,0,0,2017
34,Ashish NehraSRH,6,6,21,8,197,10-Apr,24.62,9.3,15.87,0,0,2017
35,Varun AaronPBKS,6,6,20,7,163,16-Mar,23.28,8.15,17.14,0,0,2017
36,Mitchell JohnsonMI,5,5,20,7,141,26-Mar,20.14,7.05,17.14,0,0,2017
37,Adam ZampaRPS,6,6,20,7,163,19-Jun,23.28,8.21,17,0,0,2017
38,Glenn MaxwellPBKS,14,8,19,7,125,15-Feb,17.85,6.57,16.28,0,0,2017
39,James FaulknerGL,8,8,26,6,258,16-May,43,9.79,26.33,0,0,2017
40,Shahbaz NadeemDC,7,7,18,6,119,16-Mar,19.83,6.67,17.83,0,0,2017
41,Praveen KumarGL,6,6,16,6,151,18-Mar,25.16,9.15,16.5,0,0,2017
42,Piyush ChawlaKKR,6,6,20,6,179,17-Apr,29.83,8.95,20,0,0,2017
43,Kagiso RabadaDC,6,6,21,6,188,21-Apr,31.33,8.81,21.33,0,0,2017
44,Hardik PandyaMI,17,13,26,6,213,20-Mar,35.5,8.19,26,0,0,2017
45,Aniket ChoudharyRCB,5,5,17,5,144,17-Feb,28.8,8.55,20.2,0,0,2017
46,Pradeep SangwanGL,5,5,18,5,181,18-Mar,36.2,10.05,21.6,0,0,2017
47,Tymal MillsRCB,5,5,18,5,153,Feb-31,30.6,8.57,21.4,0,0,2017
48,Mohammad ShamiDC,8,8,26,5,243,15-Mar,48.6,9.34,31.2,0,0,2017
49,Trent BoultKKR,6,6,24,5,216,18-Apr,43.2,9.06,28.6,0,0,2017
50,Ravindra JadejaGL,12,12,38,5,349,16-May,69.8,9.18,45.6,0,0,2017
51,Sreenath AravindRCB,10,10,30,5,275,14-Apr,55,9.01,36.6,0,0,2017
52,Shane WatsonRCB,8,8,27,5,245,29-Apr,49,9.13,32.2,0,0,2017
53,Stuart BinnyRCB,8,4,6,4,50,14-Feb,12.5,8.33,9,0,0,2017
54,Colin de GrandhommeKKR,12,9,16,4,135,4-Mar,33.75,8.43,24,0,0,2017
55,KC CariappaPBKS,4,4,15,4,127,16-Feb,31.75,8.46,22.5,0,0,2017
56,Ankit RajpootKKR,5,5,14,4,107,14-May,26.75,7.64,21,0,0,2017
57,Lockie FergusonLSG,4,4,13,3,93,15-Mar,31,7.15,26,0,0,2017
58,Bipul SharmaSRH,7,7,16,3,129,13-Feb,43,7.89,32.66,0,0,2017
59,Tim SoutheeMI,3,3,10,3,96,24-Mar,32,9.6,20,0,0,2017
60,Rahul TewatiaPBKS,3,3,9,3,49,18-Mar,16.33,5.44,18,0,0,2017
61,Adam MilneRCB,4,4,14,3,134,21-Feb,44.66,9.57,28,0,0,2017
62,Harshal PatelRCB,1,1,4,3,43,27-May,14.33,10.75,8,0,0,2017
63,Corey AndersonDC,11,8,19,3,186,18-Feb,62,9.87,37.66,0,0,2017
64,Dhawal KulkarniGL,6,6,19,3,173,14-Apr,57.66,9.18,37.66,0,0,2017
65,Iqbal AbdullaRCB,2,2,5,2,55,24-Mar,27.5,11,15,0,0,2017
66,Marcus StoinisPBKS,5,5,10,2,110,15-Apr,55,10.47,31.5,0,0,2017
67,Vinay KumarMI,1,1,3,2,31,Apr-40,15.5,10.33,9,0,0,2017
68,Ankit SoniGL,7,6,18,2,144,16-Jan,72,7.92,54.5,0,0,2017
69,Mohammad NabiSRH,3,3,11,2,58,11-Apr,29,5.27,33,0,0,2017
70,Dwayne SmithGL,12,9,13,2,148,8-Apr,74,11.38,39,0,0,2017
71,Travis HeadRCB,7,5,8,2,81,Feb-30,40.5,10.12,24,0,0,2017
72,T NatarajanPBKS,6,6,12,2,115,24-Feb,57.5,9.07,38,0,0,2017
73,Rahul ChaharRPS,3,2,7,2,58,27-Apr,29,8.28,21,0,0,2017
74,Rajat BhatiaRPS,3,3,7,2,55,15-Apr,27.5,7.85,21,0,0,2017
75,Billy StanlakeRCB,2,2,8,2,70,21-Feb,35,8.75,24,0,0,2017
76,Deepak HoodaSRH,10,3,4,2,42,16-Feb,21,10.5,12,0,0,2017
77,Nathu SinghGL,2,2,4,1,15,7-Jan,15,3.75,24,0,0,2017
78,Matt HenryPBKS,2,2,5,1,71,31-Jan,71,14.2,30,0,0,2017
79,Yuvraj SinghSRH,12,2,2,1,22,29-Apr,22,11,12,0,0,2017
80,Yusuf PathanKKR,15,4,4,1,41,20-Mar,41,10.25,24,0,0,2017
81,Carlos BrathwaiteDC,2,2,6,1,67,Mar-43,67,11.16,36,0,0,2017
82,Deepak ChaharRPS,3,3,7,1,74,13-Apr,74,10.57,42,0,0,2017
83,Ashok DindaRPS,3,3,10,1,119,18-Apr,119,11.9,60,0,0,2017
84,Munaf PatelGL,2,2,7,1,57,21-May,57,8.14,42,0,0,2017
85,Shubham AgarwalGL,1,1,4,1,42,Jan-42,42,10.5,24,0,0,2017
86,Ben CuttingSRH,4,4,12,1,123,20-Feb,123,9.71,76,0,0,2017
87,Swapnil SinghPBKS,4,4,7,1,61,14-Jan,61,8.71,42,0,0,2017
88,Suresh RainaGL,14,6,12,1,102,Feb-00,102,8.5,72,0,0,2017
89,Avesh KhanRCB,1,1,4,1,23,13-Mar,23,5.75,24,0,0,2017
90,Moises HenriquesSRH,12,12,24,1,248,12-Mar,248,10.33,144,0,0,2017
1,Bhuvneshwar KumarSRH,17,17,66,23,490,19-May,21.3,7.42,17.21,1,0,2016
2,Yuzvendra ChahalRCB,13,13,49,21,401,25-Apr,19.09,8.15,14.04,1,0,2016
3,Shane WatsonRCB,16,16,56,20,485,29-Apr,24.25,8.58,16.95,1,0,2016
4,Dhawal KulkarniGL,14,14,49,18,364,14-Apr,20.22,7.42,16.33,1,0,2016
5,Mitchell McClenaghanMI,14,14,53,17,436,21-Apr,25.64,8.17,18.82,1,0,2016
6,Dwayne BravoGL,15,15,56,17,494,22-Apr,29.05,8.82,19.76,1,0,2016
7,Mustafizur RahmanSRH,16,16,61,17,421,16-Mar,24.76,6.9,21.52,0,0,2016
8,Jasprit BumrahMI,14,14,52,15,406,14-Apr,27.06,7.8,20.8,0,0,2016
9,Sandeep SharmaPBKS,14,14,50,15,366,20-Apr,24.4,7.32,20,0,0,2016
10,Andre RussellKKR,12,12,36,15,291,15-May,19.4,7.97,14.6,1,0,2016
11,Barinder SranSRH,14,14,49,14,413,28-Mar,29.5,8.34,21.21,0,0,2016
12,Axar PatelPBKS,14,14,48,13,388,21-Apr,29.84,8.11,22.07,1,0,2016
13,Mohit SharmaPBKS,14,14,48,13,407,14-Apr,31.3,8.39,22.38,0,0,2016
14,Chris MorrisDC,12,12,44,13,308,23-Apr,23.69,7,20.3,0,0,2016
15,Amit MishraDC,14,14,46,13,344,17-May,26.46,7.47,21.23,1,0,2016
16,Adam ZampaRPS,5,5,17,12,115,19-Jun,9.58,6.76,8.5,0,1,2016
17,Moises HenriquesSRH,17,17,52,12,415,12-Mar,34.58,7.98,26,0,0,2016
18,Sreenath AravindRCB,9,9,29,11,216,14-Apr,19.63,7.4,15.9,0,0,2016
19,Sunil NarineKKR,11,11,43,11,304,19-May,27.63,7.09,23.36,0,0,2016
20,Ashok DindaRPS,9,9,30,11,231,18-Apr,21,7.57,16.63,0,0,2016
21,Piyush ChawlaKKR,12,11,35,11,273,17-Apr,24.81,7.72,19.27,0,0,2016
22,Chris JordanRCB,9,9,28,11,258,11-Apr,23.45,9.21,15.27,1,0,2016
23,Zaheer KhanDC,12,12,43,10,337,17-Apr,33.7,7.71,26.2,0,0,2016
24,Morne MorkelKKR,10,10,35,10,297,20-Apr,29.7,8.36,21.3,0,0,2016
25,Umesh YadavKKR,9,9,26,10,234,24-Apr,23.4,9,15.6,0,0,2016
26,Ravichandran AshwinRPS,14,14,44,10,319,Apr-34,31.9,7.25,26.4,1,0,2016
27,Tim SoutheeMI,11,11,43,9,329,24-Mar,36.55,7.65,28.66,0,0,2016
28,Thisara PereraRPS,12,11,33,9,326,20-Mar,36.22,9.82,22.11,0,0,2016
29,Praveen KumarGL,16,16,51,9,401,18-Mar,44.55,7.78,34.33,0,0,2016
30,Ashish NehraSRH,8,8,26,9,199,10-Apr,22.11,7.65,17.33,0,0,2016
31,Harbhajan SinghMI,14,14,49,9,392,18-May,43.55,8,32.66,0,0,2016
32,Dwayne SmithGL,12,8,18,8,153,8-Apr,19.12,8.5,13.5,1,0,2016
33,Ravindra JadejaGL,15,14,40,8,311,16-May,38.87,7.74,30.12,0,0,2016
34,Marcus StoinisPBKS,7,7,23,8,194,15-Apr,24.25,8.43,17.25,1,0,2016
35,Kane RichardsonRCB,4,4,14,7,136,13-Mar,19.42,9.71,12,0,0,2016
36,Carlos BrathwaiteDC,8,8,23,7,185,Mar-43,26.42,7.98,19.85,0,0,2016
37,Murugan AshwinRPS,10,10,28,7,241,21-Mar,34.42,8.45,24.42,0,0,2016
38,Shivil KaushikGL,7,7,23,6,192,20-Mar,32,8.34,23,0,0,2016
39,Krunal PandyaMI,12,11,31,6,236,14-Mar,39.33,7.57,31.16,0,0,2016
40,Kuldeep YadavKKR,3,3,12,6,100,20-Apr,16.66,8.33,12,0,0,2016
41,Iqbal AbdullaRCB,8,8,25,6,213,24-Mar,35.5,8.52,25,0,0,2016
42,Rajat BhatiaRPS,10,10,34,6,244,15-Apr,40.66,7.17,34,0,0,2016
43,Pravin TambeGL,7,7,16,5,143,20-Apr,28.6,8.93,19.2,0,0,2016
44,Shakib Al HasanKKR,10,9,31,5,243,17-Mar,48.6,7.83,37.2,0,0,2016
45,Ben CuttingSRH,4,4,11,5,80,20-Feb,16,7.16,13.4,0,0,2016
46,Imran TahirDC,4,4,16,5,138,12-Apr,27.6,8.62,19.2,0,0,2016
47,Mohammad ShamiDC,8,8,25,5,244,15-Mar,48.8,9.69,30.2,0,0,2016
48,Brad HoggKKR,5,5,16,4,142,29-Apr,35.5,8.87,24,0,0,2016
49,Mitchell MarshRPS,3,3,9,4,45,25-Apr,11.25,5,13.5,0,0,2016
50,Bipul SharmaSRH,7,6,14,3,121,13-Feb,40.33,8.64,28,0,0,2016
51,Vinay KumarMI,3,3,9,3,64,Apr-40,21.33,7.11,18,0,0,2016
52,RP SinghRPS,4,4,12,3,111,22-Apr,37,9.25,24,0,0,2016
53,Ankit RajpootKKR,4,4,11,3,98,14-May,32.66,8.9,22,0,0,2016
54,Tabraiz ShamsiRCB,4,4,16,3,147,21-Jan,49,9.18,32,0,0,2016
55,Pradeep SahuPBKS,5,5,17,3,146,18-Feb,48.66,8.34,35,0,0,2016
56,Nathan Coulter-NileDC,4,4,15,3,114,14-Apr,38,7.6,30,0,0,2016
57,Hardik PandyaMI,11,10,16,3,153,20-Mar,51,9.18,33.33,0,0,2016
58,Ishant SharmaRPS,4,4,15,3,148,12-May,49.33,9.86,30,0,0,2016
59,Deepak HoodaSRH,17,6,13,3,97,16-Feb,32.33,7.46,26,0,0,2016
60,KC CariappaPBKS,5,5,17,3,159,16-Feb,53,9.35,34,0,0,2016
61,Scott BolandRPS,2,2,7,2,54,Feb-31,27,7.71,21,0,0,2016
62,James FaulknerGL,7,7,17,2,167,16-May,83.5,9.82,51,0,0,2016
63,Jason HolderKKR,4,4,13,2,103,Apr-52,51.5,7.92,39,0,0,2016
64,Jayant YadavDC,5,5,17,2,125,23-Jan,62.5,7.35,51,0,0,2016
65,John HastingsKKR,2,2,6,2,37,6-Feb,18.5,5.55,20,0,0,2016
66,Varun AaronRCB,8,8,23,2,227,16-Mar,113.5,9.59,71,0,0,2016
67,JP DuminyDC,10,5,7,2,55,17-Apr,27.5,7.85,21,0,0,2016
68,Shahbaz NadeemDC,4,4,15,2,127,16-Mar,63.5,8.46,45,0,0,2016
69,Shadab JakatiGL,6,6,20,2,178,22-Apr,89,8.9,60,0,0,2016
70,Sachin BabyRCB,11,2,1,2,8,4-Feb,4,4.8,5,0,0,2016
71,Kyle AbbottPBKS,5,5,16,2,177,Jan-38,88.5,11.06,48,0,0,2016
72,Rishi DhawanPBKS,2,2,7,2,56,14-Feb,28,8,21,0,0,2016
73,Mitchell JohnsonPBKS,3,3,11,2,106,26-Mar,53,9.63,33,0,0,2016
74,Gurkeerat Mann SinghPBKS,7,3,4,2,31,15-Feb,15.5,7.75,12,0,0,2016
75,Chris GayleRCB,10,4,10,2,63,21-Mar,31.5,6.3,30,0,0,2016
76,Albie MorkelRPS,2,2,5,2,66,Apr-32,33,13.2,15,0,0,2016
77,Yusuf PathanKKR,15,4,6,1,33,20-Mar,33,5.5,36,0,0,2016
78,Trent BoultSRH,1,1,4,1,39,18-Apr,39,9.75,24,0,0,2016
79,Adam MilneRCB,1,1,4,1,43,21-Feb,43,10.75,24,0,0,2016
80,Ankit SharmaRPS,3,3,11,1,84,20-Feb,84,7.63,66,0,0,2016
81,Stuart BinnyRCB,14,11,17,1,134,14-Feb,134,7.88,102,0,0,2016
82,Ashish ReddySRH,4,2,4,1,39,25-Mar,39,10.17,23,0,0,2016
83,Rajagopal SathishKKR,4,3,6,1,59,11-Jan,59,9.83,36,0,0,2016
84,Pawan NegiDC,8,5,9,1,84,18-Apr,84,9.33,54,0,0,2016
85,Parveez RasoolRCB,4,4,14,1,129,20-Jan,129,9.21,84,0,0,2016
86,Harshal PatelRCB,5,5,14,1,147,27-May,147,10.5,84,0,0,2016
1,Dwayne BravoCSK,17,16,52,26,426,22-Apr,16.38,8.14,12.07,0,0,2015
2,Lasith MalingaMI,15,15,60,24,444,13-May,18.5,7.4,15,1,0,2015
3,Yuzvendra ChahalRCB,15,14,47,23,415,25-Apr,18.04,8.86,12.21,0,0,2015
4,Ashish NehraCSK,16,16,62,22,449,10-Apr,20.4,7.24,16.9,1,0,2015
5,Mitchell StarcRCB,13,12,43,20,291,15-Apr,14.55,6.76,12.9,1,0,2015
6,Mitchell McClenaghanMI,12,12,47,18,386,21-Apr,21.44,8.21,15.66,0,0,2015
7,Harbhajan SinghMI,15,15,57,18,446,18-May,24.77,7.82,19,0,0,2015
8,Bhuvneshwar KumarSRH,14,14,51,18,407,19-May,22.61,7.87,17.22,0,0,2015
9,Harshal PatelRCB,15,14,44,17,328,27-May,19.29,7.48,15.47,0,0,2015
10,David WieseRCB,14,13,42,16,353,Apr-33,22.06,8.33,15.87,1,0,2015
11,Nathan Coulter-NileDC,11,11,42,15,321,14-Apr,21.4,7.55,17,1,0,2015
12,Imran TahirDC,10,10,35,15,314,12-Apr,20.93,8.84,14.2,1,0,2015
13,Anureet SinghPBKS,14,14,51,15,465,23-Mar,31,9,20.66,0,0,2015
14,Andre RussellKKR,13,13,40,14,324,15-May,23.14,7.96,17.42,0,0,2015
15,Mohit SharmaCSK,16,16,57,14,481,14-Apr,34.35,8.43,24.42,0,0,2015
16,Axar PatelPBKS,14,14,46,13,392,21-Apr,30.15,8.4,21.53,0,0,2015
17,Sandeep SharmaPBKS,14,14,50,13,350,20-Apr,26.92,7,23.07,1,0,2015
18,Dhawal KulkarniRR,11,11,35,13,277,14-Apr,21.3,7.91,16.15,0,0,2015
19,Chris MorrisRR,11,11,42,13,311,23-Apr,23.92,7.4,19.38,1,0,2015
20,Moises HenriquesSRH,9,9,25,11,158,12-Mar,14.36,6.32,13.63,0,0,2015
21,Piyush ChawlaKKR,13,13,35,11,269,17-Apr,24.45,7.68,19.09,1,0,2015
22,Ravindra JadejaCSK,17,15,42,11,330,16-May,30,7.73,23.27,1,0,2015
23,Ishwar PandeyCSK,10,10,31,11,223,23-Feb,20.27,7.19,16.9,0,0,2015
24,Umesh YadavKKR,12,12,42,10,382,24-Apr,38.2,9.09,25.2,0,0,2015
25,Karn SharmaSRH,14,14,40,10,332,16-Apr,33.2,8.33,23.9,0,0,2015
26,Ravichandran AshwinCSK,14,13,39,10,228,Apr-34,22.8,5.84,23.4,0,0,2015
27,Jagadeesha SuchithMI,13,12,39,10,337,14-Feb,33.7,8.64,23.4,0,0,2015
28,Morne MorkelKKR,7,7,28,10,206,20-Apr,20.6,7.35,16.8,0,0,2015
29,Amit MishraDC,12,12,40,9,310,17-May,34.44,7.71,26.77,0,0,2015
30,Mitchell JohnsonPBKS,9,9,36,9,336,26-Mar,37.33,9.37,23.88,0,0,2015
31,Brad HoggKKR,6,6,21,9,144,29-Apr,16,6.85,14,1,0,2015
32,Trent BoultSRH,7,7,28,9,236,18-Apr,26.22,8.42,18.66,0,0,2015
33,James FaulknerRR,13,13,45,8,426,16-May,53.25,9.46,33.75,0,0,2015
34,Sreenath AravindRCB,5,5,18,8,132,14-Apr,16.5,7.33,13.5,1,0,2015
35,JP DuminyDC,14,9,17,8,126,17-Apr,15.75,7.41,12.75,1,0,2015
36,Angelo MathewsDC,11,10,30,7,246,19-Apr,35.14,8.2,25.71,0,0,2015
37,Zaheer KhanDC,7,7,24,7,156,17-Apr,22.28,6.45,20.71,0,0,2015
38,Sunil NarineKKR,8,8,32,7,234,19-May,33.42,7.31,27.42,1,0,2015
39,Praveen KumarSRH,12,12,36,7,329,18-Mar,47,9.13,30.85,0,0,2015
40,Pravin TambeRR,10,10,34,7,266,20-Apr,38,7.82,29.14,0,0,2015
41,Vinay KumarMI,13,13,43,7,368,Apr-40,52.57,8.45,37.28,0,0,2015
42,Ravi BoparaSRH,9,7,20,6,160,31-Mar,26.66,8,20,0,0,2015
43,Shane WatsonRR,10,10,29,6,269,29-Apr,44.83,9.27,29,0,0,2015
44,Pawan NegiCSK,10,10,30,6,252,18-Apr,42,8.4,30,0,0,2015
45,Tim SoutheeRR,7,7,28,6,247,24-Mar,41.16,8.82,28,0,0,2015
46,Beuran HendricksPBKS,4,4,13,5,109,Mar-36,21.8,8.38,15.6,0,0,2015
47,Stuart BinnyRR,13,10,19,4,140,14-Feb,35,7.36,28.5,0,0,2015
48,Domnic JosephDC,6,6,14,4,101,18-Feb,25.25,7.21,21,0,0,2015
49,Shakib Al HasanKKR,4,4,14,4,123,17-Mar,30.75,8.78,21,0,0,2015
50,Iqbal AbdullaRCB,5,5,19,4,150,24-Mar,37.5,7.89,28.5,0,0,2015
51,Varun AaronRCB,6,5,17,3,177,16-Mar,59,10.21,34.66,0,0,2015
52,Albie MorkelDC,4,4,12,3,109,Apr-32,36.33,9.08,24,0,0,2015
53,Kieron PollardMI,16,8,12,3,120,Apr-44,40,9.47,25.33,0,0,2015
54,Ankit SharmaRR,4,4,14,3,114,20-Feb,38,8.14,28,0,0,2015
55,Gurkeerat Mann SinghPBKS,5,3,9,3,66,15-Feb,22,7.33,18,0,0,2015
56,Dale SteynSRH,6,6,19,3,170,11-Mar,56.66,8.94,38,0,0,2015
57,Ashish ReddySRH,6,4,6,3,50,25-Mar,16.66,8.33,12,0,0,2015
58,Bipul SharmaSRH,4,3,7,3,50,13-Feb,16.66,7.14,14,0,0,2015
59,Jasprit BumrahMI,4,4,15,3,184,14-Apr,61.33,12.26,30,0,0,2015
60,Glenn MaxwellPBKS,11,7,10,2,97,15-Feb,48.5,9.7,30,0,0,2015
61,Suresh RainaCSK,17,5,12,2,93,Feb-00,46.5,7.75,36,0,0,2015
62,Jayant YadavDC,3,3,7,2,29,23-Jan,14.5,4.14,21,0,0,2015
63,Yusuf PathanKKR,13,5,10,2,97,20-Mar,48.5,9.7,30,0,0,2015
64,Corey AndersonMI,4,2,4,1,33,18-Feb,33,8.25,24,0,0,2015
